CookerStat, GenerateAssetRegistry=0.022121, Initialize=0.121679, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6FB92508437DCAEF9E439DA714FA338E__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=435, Duration=2.470326, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2D2E2CB74211DD81B1613E86813F674E__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=913, Duration=2.036546, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_08E093F44AD6EB94E2FC069F53511B3C__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=815, Duration=3.083065, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_54DD03A247CA1DA50126ACA132FC2A37__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=409, Duration=2.822325, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9B3FC63E4787B36CB0D00DB97D85C629__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=473, Duration=2.425682, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C2608A7F48549977EF80B7ADBD404715__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=385, Duration=2.939656, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CDCABE19494F09B05B635E9884BD5FFE__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=577, Duration=2.574619, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2F229E6045CEA108770993889CD8395C__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=385, Duration=2.132542, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B28C1CF480D55DBAE54A9BB46229649__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=3249, Duration=1.876943, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2F607E45412FAADEB48B2A8FBAA6C32F__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=499, Duration=2.288990, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
